Device,DrwSubDrwPkt,MedID,MedDescription,BrandName,Min,Max,CurrentAmount,PickArea,PickAmount,Zone,DeliveryArea,RefillAmount
UTI 4 Piso,main Caj 3.5,25493X1,PARACETAMOL 1000 mg comprimido,,6,12,6,01 FARMACIA CENTRAL,6,,"UTI 4, UTI-UCO-UTIM",6
UTI 4 Piso,main Caj 3.6,41281x1,OMEPRAZOL 20 mg cápsula,,7,12,10,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 3.8,37884X1,"cloNAZEPAM 0,25 MGSUB comprimido sublingua",,2,4,0,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,main Caj 4-Subdiv 1,18284x1,TERAZOSINA 5 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 4-Subdiv 10,19459X1,TIAMINA (VITAMINA B1) INY IV 100 mg (1 ml) ampolla,,5,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 4-Subdiv 12,46564x1,"TAMSULOSINA 0,4 mg comprimido",,10,25,19,01 FARMACIA CENTRAL,6,,"UTI 4, UTI-UCO-UTIM",6
UTI 4 Piso,main Caj 4-Subdiv 13,20193x1,DEXAMETASONA 4 mg comprimido,,5,15,12,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 4-Subdiv 14,7009X1,ENALAPRIL MALEATO 10 mg comprimido,,10,20,19,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 4-Subdiv 16,36476X1,Espironolactona 25 mg comprimido,,10,20,14,01 FARMACIA CENTRAL,6,,"UTI 4, UTI-UCO-UTIM",6
UTI 4 Piso,main Caj 4-Subdiv 18,22524x1,ATORVASTATINA 20 mg comprimido,,10,20,17,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 4-Subdiv 2,35535x1,ALLOPURINOL 100 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 4-Subdiv 20,47357x1,HIERRO+VIT B+VIT C (ANEMIDOX) 1 unidad comprimido,,10,20,15,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,main Caj 4-Subdiv 21,21812X1,HIDROCORTISONA 10 mg comprimido,,10,15,10,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,main Caj 4-Subdiv 22,37187X1,MEPREDNISONA 40 mg comprimido,,5,15,13,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 4-Subdiv 23,50881x1,VALSARTAN 80 mg comprimido,,10,20,13,01 FARMACIA CENTRAL,7,,"UTI 4, UTI-UCO-UTIM",7
UTI 4 Piso,main Caj 4-Subdiv 25,20634x1,WARFARINA 5 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 4-Subdiv 27,42407x1,SIMVASTATINA 20 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 4-Subdiv 31,7483x1,"CALCITRIOL 0,25 mcg comprimido",,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 4-Subdiv 32,47936x1,SOLIFENACINA 5 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 4-Subdiv 33,28135x1,LERCANIDIPINA 10 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 4-Subdiv 38,MC2580X1,LEVOTIROXINA 137 mcg comprimido,,6,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 4-Subdiv 5,47784x1,TICAGRELOR 90 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 4-Subdiv 6,11665x1,OXIBUTININA 5 mg comprimido,,10,15,12,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 4-Subdiv 7,22063X1,FUROsemida 40 mg comprimido,,10,30,24,01 FARMACIA CENTRAL,6,,"UTI 4, UTI-UCO-UTIM",6
UTI 4 Piso,main Caj 4-Subdiv 8,52860X1,"CARVEDILOL 6,25 mg comprimido",,10,30,18,01 FARMACIA CENTRAL,12,,"UTI 4, UTI-UCO-UTIM",12
UTI 4 Piso,main Caj 4-Subdiv 9,8041x1,CITRATO DE MAGNESIO 55 mg comprimido,,10,15,10,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,main Caj 5-Subdiv 1,7639X1,AMIODARona 200 mg comprimido,,10,30,27,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 5-Subdiv 10,48783x1,ACETILCISTEINA N (ACEMUK) 600 mg polvo para suspensió,ACEMUK,10,20,18,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 5-Subdiv 11,MED230X1,SOLUCION GLUCOSADA HIPERTONICA 25 g/100 ml (10 ml) ampolla,,5,10,6,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,main Caj 5-Subdiv 13,2232x1,ACENOCUMAROL 4 mg comprimido multidosi,,6,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 5-Subdiv 14,43413x1,ATORVASTATINA 10 mg comprimido,,10,20,18,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 5-Subdiv 15,46876X1,KETOROLAC TROMETAMINA 10 MGSUB comprimido sublingua,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 5-Subdiv 16,47287X1,EPLERENONA 25 mg comprimido,,5,15,13,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 5-Subdiv 17,25706x1,HIDRALAZINA 25 mg comprimido,,10,15,10,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,main Caj 5-Subdiv 2,47540x1,CLORURO DE POTASIO 600 mg comprimido,,15,30,22,01 FARMACIA CENTRAL,8,,"UTI 4, UTI-UCO-UTIM",8
UTI 4 Piso,main Caj 5-Subdiv 20,33436X1,ALLOPURINOL 300 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 5-Subdiv 21,50884x1,VALSARTAN 160 mg comprimido,,7,15,9,01 FARMACIA CENTRAL,6,,"UTI 4, UTI-UCO-UTIM",6
UTI 4 Piso,main Caj 5-Subdiv 22,29399x1,ACIDO FOLICO 10 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 5-Subdiv 23,35237x1,ESOMEPRAZOL 20 mg comprimido recubiert,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 5-Subdiv 25,33676X1,TRIMEBUTINA 200 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 5-Subdiv 27,29418X1,LOPERAMIDA 2 mg comprimido,,10,15,14,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 5-Subdiv 28,35798X1,EZETIMIBE 10 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 5-Subdiv 29,5739X1,HIDROCLOROTIAZIDA 25 mg comprimido,,5,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 5-Subdiv 30,15577X1,ACICLOVIR 800 mg comprimido,,5,15,11,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,main Caj 5-Subdiv 31,636x1,NAPROXENO 500 mg comprimido,,5,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 5-Subdiv 32,18996X1,ATENOLOL 25 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 5-Subdiv 33,17396X1,METOCLOPRAMIDA 10 MGSUB comprimido sublingua,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 5-Subdiv 34,48494X1,NEBIVOLOL 5 mg comprimido,,5,10,6,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,main Caj 5-Subdiv 4,25467X1,LOSARTAN 50 mg comprimido,,10,30,27,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 5-Subdiv 5,18175x1,AMLODIPINA 10 mg comprimido,,10,30,24,01 FARMACIA CENTRAL,6,,"UTI 4, UTI-UCO-UTIM",6
UTI 4 Piso,main Caj 5-Subdiv 6,30230x1,MOSAPRIDE 5 mg comprimido,,10,30,26,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,main Caj 5-Subdiv 7,53330X1,BISOPROLOL 5 mg comprimido recubiert,,30,50,34,01 FARMACIA CENTRAL,16,,"UTI 4, UTI-UCO-UTIM",16
UTI 4 Piso,main Caj 5-Subdiv 8,41961X1,CLOPIDOGREL 75 mg comprimido recubiert,,30,50,49,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 5-Subdiv 9,52861X1,"CARVEDILOL 12,5 mg comprimido",,10,30,21,01 FARMACIA CENTRAL,9,,"UTI 4, UTI-UCO-UTIM",9
UTI 4 Piso,main Caj 6-Subdiv 1,15235x1,HIDROXICLOROQUINA 200 mg comprimido,,4,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 6-Subdiv 10,1949X1,SIMETICONA 200 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 6-Subdiv 12,21112X1,diclofenac SODICO 50 mg comprimido,,5,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 6-Subdiv 13,49635X1,RIFAXIMINA 550 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 6-Subdiv 14,7701X1,FLECAINIDA 100 mg comprimido,,10,15,10,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,main Caj 6-Subdiv 16,12909X1,METFORMINA 850 MGRD cápsula acción prolo,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 6-Subdiv 17,9617X1,KETOROLAC 20 mg comprimido,,4,8,6,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 6-Subdiv 18,49174X1,"APIXABAN 2,5 mg comprimido",,10,15,8,01 FARMACIA CENTRAL,7,,"UTI 4, UTI-UCO-UTIM",7
UTI 4 Piso,main Caj 6-Subdiv 19,15656x1,CIPROFLOXACINA 500 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 6-Subdiv 2,47585X1,LORATADINA 10 mg comprimido,,5,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 6-Subdiv 21,51868X1,PRUCALOPRIDE 2 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 6-Subdiv 23,38295x1,"DUTASTERIDE 0,5 mg comprimido",,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 6-Subdiv 24,8395x1,DOMPERIDONA 10 mg comprimido,,10,15,13,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 6-Subdiv 25,26109X1,COMPLEJO B (BECOZYM AMPOLLA) 1 unidad ampolla,BECOZYM AMPOLLA,3,5,4,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 6-Subdiv 26,31742X1,CARVEDILOL 25 mg comprimido,,4,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 6-Subdiv 27,9130X1,PROPRAnolol 40 mg comprimido,,4,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 6-Subdiv 28,3748X1,NIFEDIPINA LIBERACIÓN OSMÓTICA 30 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 6-Subdiv 29,19428X1,ATROPina sulfato 1 mg/1 ml (1 ml) ampolla,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 6-Subdiv 3,22808X1,"FLUDROCORTISONA 0,1 mg comprimido",,5,15,13,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 6-Subdiv 31,18741X1,SULFAMETOXAZOL+TRIMETOPRIMA 960 mg comprimido,,5,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 6-Subdiv 38,42639X1,CILOSTAZOL 50 mg comprimido,,10,15,11,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,main Caj 6-Subdiv 39,1649x1,HIOSCINA 10 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 6-Subdiv 4,48158X1,METILDOPA 500 mg comprimido,,5,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 6-Subdiv 40,43554X1,IVABRADINA 5 mg comprimido,,3,5,3,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 6-Subdiv 42,23782X1,TELMISARTAN 40 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 6-Subdiv 43,39846X1,LEVOTIROXINA 112 mcg comprimido,,3,6,5,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 6-Subdiv 45,37870X1,MEMANTINA 10 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 6-Subdiv 46,21796x1,CLINDAMICINA 300 mg cápsula,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 6-Subdiv 47,12830X1,ISOSORBIDE MONONITRATO 20 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 6-Subdiv 48,43318X1,VILDAGLIPTINA 50 mg comprimido,,5,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 6-Subdiv 5,46644X1,MONTELUKAST 10 mg comprimido,,2,5,4,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 6-Subdiv 6,23547X1,ADENOSINA IV 3 mg/1 ml (2 ml) ampolla,,5,8,6,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 6-Subdiv 7,45207X1,LABETALOL 200 mg comprimido,,5,10,6,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4

